603052,可川科技,2024-01-03,0.49,0.51,136,098,600.00,140,689,600.00,换手率达20%的证券
603099,长白山,2024-01-03,0.51,0.49,83,291,900.00,79,767,000.00,连续三个交易日内涨幅偏离值累计达20%的证券
603178,圣龙股份,2024-01-03,0.57,0.43,99,706,600.00,75,112,000.00,跌幅偏离值达7%的证券
603211,晋拓股份,2024-01-03,0.64,0.36,56,912,600.00,32,466,300.00,换手率达20%的证券
603280,南方路机,2024-01-03,0.43,0.57,39,528,900.00,52,408,900.00,换手率达20%的证券
603332,苏州龙杰,2024-01-03,0.65,0.35,63,696,200.00,33,604,500.00,连续三个交易日内涨幅偏离值累计达20%的证券
603333,尚纬股份,2024-01-03,0.51,0.49,79,334,100.00,76,792,600.00,涨幅偏离值达7%的证券
603373,安邦护卫,2024-01-03,0.42,0.58,50,916,500.00,71,242,900.00,换手率达20%的证券
603530,神马电力,2024-01-03,0.25,0.75,77,842,900.00,235,598,700.00,连续三个交易日内涨幅偏离值累计达20%的证券
603577,汇金通,2024-01-03,0.5,0.5,87,979,300.00,88,180,500.00,连续三个交易日内涨幅偏离值累计达20%的证券
603667,五洲新春,2024-01-03,0.37,0.63,45,594,700.00,78,045,700.00,跌幅偏离值达7%的证券
605178,时空科技,2024-01-03,0.3,0.7,32,559,300.00,75,886,400.00,跌幅偏离值达7%的证券
605488,福莱新材,2024-01-03,0.61,0.39,40,239,300.00,25,962,100.00,涨幅偏离值达7%的证券
900906,中毅达B,2024-01-03,0.63,0.37,418,800.00,251,100.00,涨幅偏离值达7%的证券
