卡梅伦-约翰逊,篮网,,41,19.3,6.30-12.70,49.1%,3.20-7.40,43.2%,3.60-4.00,89.5%,31,32.5,
阿尔佩伦-申京,火箭,,42,19.1,7.50-15.20,49.3%,0.30-1.50,22.4%,3.70-4.90,75.3%,33,31.5,
小迈克尔-波特,掘金,,43,18.8,7.20-13.80,52%,2.60-6.20,41.9%,1.80-2.60,69.9%,32,34.1,
埃文-莫布利,骑士,,44,18.4,7.10-12.40,57%,1.10-2.50,43%,3.10-4.00,78.2%,31,30.2,
米卡尔-布里奇斯,尼克斯,,45,18.3,7.60-14.90,50.8%,2.40-6.70,36.3%,0.80-1.10,70.3%,34,39.2,
奥斯汀-里夫斯,湖人,,45,18.3,6.20-13.90,44.9%,2.60-7.20,36.1%,3.30-4.10,80.9%,27,34.5,
科比-怀特,公牛,,47,17.9,6.00-14.30,42.1%,3.00-8.40,35.2%,2.90-3.30,88.6%,32,32.8,
格雷迪·迪克,猛龙,,48,17.8,6.10-14.40,42.1%,2.50-7.00,35.4%,3.10-3.50,88.9%,28,31.9,
谢登-夏普,开拓者,,48,17.8,6.70-14.70,45.5%,1.80-6.30,29.1%,2.70-3.30,80%,24,30.8,
科林-塞克斯顿,爵士,,50,17.7,6.40-12.90,49.3%,2.00-4.50,43.8%,2.90-3.30,89.5%,32,28.5,
